,cpu_usage
0,0.27822912
1,0.27739812
2,0.27677442
3,0.20407752
4,0.20407752
5,0.30005529
6,0.30005529
7,0.30005529
8,0.25967242
9,0.25967242
10,0.29103433
11,0.29103433
12,0.29103433
13,0.20611652
14,0.20611652
15,0.26573542
16,0.26491142
17,0.26491142
18,0.20996652
19,0.20996652
20,0.24558542
21,0.24558542
22,0.24558542
23,0.24185242
24,0.24355942
25,0.28197873
26,0.28197873
27,0.28197873
28,0.21793957
29,0.21793957
30,0.26261628
31,0.26261628
32,0.26261628
33,0.18922872
34,0.18906172
35,0.27840558
36,0.27840558
37,0.27840558
38,0.23056892
39,0.23056892
40,0.28342648
41,0.28342648
42,0.28342648
43,0.20312472
44,0.20225872
45,0.25207162
46,0.25202562
47,0.25131062
48,0.19766582
49,0.19766582
50,0.27208462
51,0.27208462
52,0.27208462
53,0.22026267
54,0.22026267
55,0.25750138
56,0.25750138
57,0.25750138
58,0.19202262
59,0.19202262
60,0.25763808
61,0.26661028
62,0.25670728
63,0.19876076
64,0.19876076
65,0.25242028
66,0.25242028
67,0.25242028
68,0.20799367
69,0.20799367
70,0.24054218
71,0.24054218
72,0.24054218
73,0.22735388
74,0.22735388
75,0.24098628
76,0.24098628
77,0.24112938
78,0.21673347
79,0.21673347
80,0.22289312
81,0.22289312
82,0.22289312
83,0.22135732
84,0.22113412
85,0.22007422
86,0.22007422
87,0.22007422
88,0.22913762
89,0.22913762
90,0.20778117
91,0.20778117
92,0.20778117
93,0.23580012
94,0.23580012
95,0.19676492
96,0.19658852
97,0.19625282
98,0.23802248
99,0.23802248
100,0.19172372
101,0.19172372
102,0.19172372
103,0.24488723
104,0.24488723
105,0.17785782
106,0.17785782
107,0.17785782
108,0.24992643
109,0.24992643
110,0.18969786
111,0.21127786
112,0.18969786
113,0.25940828
114,0.25940828
115,0.22049177
116,0.22049177
117,0.22049177
118,0.29001553
119,0.29001553
120,0.25105368
121,0.25105368
122,0.25105368
123,0.28028268
124,0.26795268
125,0.26922029
126,0.26922029
127,0.26922029
128,0.21198352
129,0.21198352
130,0.25645743
131,0.25645743
132,0.25645743
133,0.21158892
134,0.21158892
135,0.22131952
136,0.22131952
137,0.22131952
138,0.22054128
139,0.23732128
140,0.24342737
141,0.23810937
142,0.23810937
143,0.20594056
144,0.20594056
145,0.28208738
146,0.28208738
147,0.28208738
148,0.24764752
149,0.24764752
150,0.25806252
151,0.25806252
152,0.25806252
153,0.20260276
154,0.20260276
155,0.25567732
156,0.25587532
157,0.25587532
158,0.19369076
159,0.19369076
160,0.29175543
161,0.29175543
162,0.29175543
163,0.24518857
164,0.24518857
165,0.24986037
166,0.24986037
167,0.24986037
168,0.20736076
169,0.20736076
170,0.24665432
171,0.24665432
172,0.24665432
173,0.21238572
174,0.21238572
175,0.26415058
176,0.26415058
177,0.26415058
178,0.26479972
179,0.26479972
180,0.24631042
181,0.24631042
182,0.24631042
183,0.21598166
184,0.21568066
185,0.26664347
186,0.26664347
187,0.28083347
188,0.24310418
189,0.24310418
190,0.27258462
191,0.27551062
192,0.27551062
193,0.19869888
194,0.19869888
195,0.12619316
196,0.12619316
197,0.12619316
198,0.21914872
199,0.21914872
200,0.24210337
201,0.24210337
202,0.24210337
203,0.21844156
204,0.20286156
205,0.24191062
206,0.24191062
207,0.24851762
208,0.16185458
209,0.16185458
210,0.11460282
211,0.11460282
212,0.16697282
213,0.15993372
214,0.15955572
215,0.14279371
216,0.14279371
217,0.18869371
218,0.14966932
219,0.18033932
220,0.20703128
221,0.24762128
222,0.24762128
223,0.33680649
224,0.34766649
225,0.33697649
226,0.33098749
227,0.33098749
228,0.27402918
229,0.27402918
230,0.19260452
231,0.19188752
232,0.19188752
233,0.18682942
234,0.18682942
235,0.22290647
236,0.22290647
237,0.22290647
238,0.24832252
239,0.24832252
240,0.18940262
241,0.18940262
242,0.18940262
243,0.18242862
244,0.18193662
245,0.17577776
246,0.17577776
247,0.17577776
248,0.19825366
249,0.19825366
250,0.22047467
251,0.22047467
252,0.22047467
253,0.25072442
254,0.25072442
255,0.20520742
256,0.20520742
257,0.20520742
258,0.18606352
259,0.18606352
260,0.18590171
261,0.18590171
262,0.18590171
263,0.18345856
264,0.18345856
265,0.24009057
266,0.24009057
267,0.25184057
268,0.24640447
269,0.24404747
270,0.18691362
271,0.18691362
272,0.18691362
273,0.20083662
274,0.20014662
275,0.22378962
276,0.22378962
277,0.22378962
278,0.24664566
279,0.24664566
280,0.25649457
281,0.27309457
282,0.27309457
283,0.24876148
284,0.24876148
285,0.17328582
286,0.17328582
287,0.17328582
288,0.16111496
289,0.16111496
290,0.16017182
291,0.16017182
292,0.16017182
293,0.16538952
294,0.16538952
295,0.20895177
296,0.20895177
297,0.20895177
298,0.23006742
299,0.23006742
300,0.15851172
301,0.15851172
302,0.15851172
303,0.16935886
304,0.16885186
305,0.16353357
306,0.16353357
307,0.25533357
308,0.30040023
309,0.30040023
310,0.31486553
311,0.31486553
312,0.31486553
313,0.26319732
314,0.26319732
315,0.17409316
316,0.17409316
317,0.17409316
318,0.25017657
319,0.25017657
320,0.17743757
321,0.17562357
322,0.17604887
323,0.19699522
324,0.19699522
325,0.26293267
326,0.26293267
327,0.26293267
328,0.27919652
329,0.27919652
330,0.22396362
331,0.23731362
332,0.23731362
333,0.23463552
334,0.23463552
335,0.22894966
336,0.18524966
337,0.18524966
338,0.18184382
339,0.18184382
340,0.22036367
341,0.22036367
342,0.22036367
343,0.22774652
344,0.22774652
345,0.20402557
346,0.20402557
347,0.24717557
348,0.21792662
349,0.23437562
350,0.22111262
351,0.22111262
352,0.22111262
353,0.23986852
354,0.25141852
355,0.27858362
356,0.27858362
357,0.27858362
358,0.29949082
359,0.29949082
360,0.23856492
361,0.23856492
362,0.23638992
363,0.24656252
364,0.24656252
365,0.23441982
366,0.23441982
367,0.23441982
368,0.23119386
369,0.23119386
370,0.22260797
371,0.22260797
372,0.22322977
373,0.24243272
374,0.24243272
375,0.18301672
376,0.18301672
377,0.18301672
378,0.17792676
379,0.17792676
380,0.18656937
381,0.18656937
382,0.18656937
383,0.17884866
384,0.17884866
385,0.22612457
386,0.22612457
387,0.22612457
388,0.24687742
389,0.24687742
390,0.18276976
391,0.18276976
392,0.18276976
393,0.17527966
394,0.17527966
395,0.17796962
396,0.17796962
397,0.17796962
398,0.21716852
399,0.21716852
400,0.26983938
401,0.26983938
402,0.26983938
403,0.34247934
404,0.34247934
405,0.26359128
406,0.26359128
407,0.26359128
408,0.23234518
409,0.23234518
410,0.22694432
411,0.22694432
412,0.22694432
413,0.22575927
414,0.22575927
415,0.27227038
416,0.27227038
417,0.27227038
418,0.27619858
419,0.27619858
420,0.19197376
421,0.19197376
422,0.19197376
423,0.15421746
424,0.15421746
425,0.16577572
426,0.16577572
427,0.16577572
428,0.19021412
429,0.19021412
430,0.22445718
431,0.22445718
432,0.22445718
433,0.22354498
434,0.23517498
435,0.18902077
436,0.18902077
437,0.18352777
438,0.16086492
439,0.16059392
440,0.23317437
441,0.23317437
442,0.23362927
443,0.17712686
444,0.17712686
445,0.21928427
446,0.21928427
447,0.21928427
448,0.24711092
449,0.24711092
450,0.17567352
451,0.17567352
452,0.17567352
453,0.17034632
454,0.17034632
455,0.16581122
456,0.16581122
457,0.16581122
458,0.16186396
459,0.16186396
460,0.17505576
461,0.17505576
462,0.17505576
463,0.23812342
464,0.23812342
465,0.19143217
466,0.19143217
467,0.19143217
468,0.15419766
469,0.15419766
470,0.15799946
471,0.15638146
472,0.15638146
473,0.16118446
474,0.16118446
475,0.20639932
476,0.20639932
477,0.20639932
478,0.22613617
479,0.22613617
480,0.16333582
481,0.16161582
482,0.16200582
483,0.16053186
484,0.15994286
485,0.15342686
486,0.15342686
487,0.15418686
488,0.19003247
489,0.18927247
490,0.20342177
491,0.20519207
492,0.20519207
493,0.20599247
494,0.20547177
495,0.18799722
496,0.17700722
497,0.17791692
498,0.16663072
499,0.16631772
500,0.16467076
501,0.16467076
502,0.16467076
503,0.15030896
504,0.15030896
505,0.21141077
506,0.21141077
507,0.21141077
508,0.23442362
509,0.23442362
510,0.15900886
511,0.16351886
512,0.16351886
513,0.15551396
514,0.15551396
515,0.15355101
516,0.17627101
517,0.15465101
518,0.15012486
519,0.15012486
520,0.16839606
521,0.16772606
522,0.17213606
523,0.16777086
524,0.16777086
525,0.23315362
526,0.23315362
527,0.23315362
528,0.26860457
529,0.22819457
530,0.17748186
531,0.17748186
532,0.17748186
533,0.18436276
534,0.17863276
535,0.20628077
536,0.20628077
537,0.20628077
538,0.19441267
539,0.19441267
540,0.20468082
541,0.20468082
542,0.20468082
543,0.17096867
544,0.17276167
545,0.16086502
546,0.16019902
547,0.16019902
548,0.16744616
549,0.16831116
550,0.23461368
551,0.23461368
552,0.23461368
553,0.23649172
554,0.23649172
555,0.17273102
556,0.17273102
557,0.21082102
558,0.21077292
559,0.20631292
560,0.20273686
561,0.20483686
562,0.20483686
563,0.20585676
564,0.20585676
565,0.24186457
566,0.24186457
567,0.24186457
568,0.25052077
569,0.25052077
570,0.23962362
571,0.23962362
572,0.23962362
573,0.21276486
574,0.21238786
575,0.18713286
576,0.18533586
577,0.18410586
578,0.19137356
579,0.19137356
580,0.22810172
581,0.22877172
582,0.23106172
583,0.22457177
584,0.22457177
585,0.23663172
586,0.23663172
587,0.23663172
588,0.19510477
589,0.19436777
590,0.18557077
591,0.18512077
592,0.18512077
593,0.17131557
594,0.17131557
595,0.28550347
596,0.28550347
597,0.28550347
598,0.30301392
599,0.30301392
600,0.17173236
601,0.17173236
602,0.13725236
603,0.14413711
604,0.14396911
605,0.16288806
606,0.16288806
607,0.16288806
608,0.14702586
609,0.14702586
610,0.21747577
611,0.21747577
612,0.21747577
613,0.25122868
614,0.22428968
615,0.18511362
616,0.18615362
617,0.18652362
618,0.14626526
619,0.14602926
620,0.16658382
621,0.16658382
622,0.16658382
623,0.14373341
624,0.17895341
625,0.19599542
626,0.19453542
627,0.19453542
628,0.20396696
629,0.16470776
630,0.16553412
631,0.16553412
632,0.16590222
633,0.17428311
634,0.17428311
635,0.16822791
636,0.16822791
637,0.17067291
638,0.16490082
639,0.19884082
640,0.30053318
641,0.30053318
642,0.29629118
643,0.16847952
644,0.16847952
645,0.16483856
646,0.16483856
647,0.16483856
648,0.15976152
649,0.15976152
650,0.16339292
651,0.16339292
652,0.16339292
653,0.21506491
654,0.14743491
655,0.14113311
656,0.14113311
657,0.14113311
658,0.18627336
659,0.14190336
660,0.14318771
661,0.14318771
662,0.14449071
663,0.13952981
664,0.13952981
665,0.15364701
666,0.15364701
667,0.15364701
668,0.14368026
669,0.14368026
670,0.14936081
671,0.14912331
672,0.14912331
673,0.13679721
674,0.13701561
675,0.13695116
676,0.13695116
677,0.13695116
678,0.14022571
679,0.14022571
680,0.14162271
681,0.14162271
682,0.14162271
683,0.13986476
684,0.13986476
685,0.17698742
686,0.17698742
687,0.17698742
688,0.22224607
689,0.22224607
690,0.22642687
691,0.22642687
692,0.22879987
693,0.15301196
694,0.15301196
695,0.15157206
696,0.15157206
697,0.17811806
698,0.22187907
699,0.22711907
700,0.22200752
701,0.22200752
702,0.22200752
703,0.21795752
704,0.21795752
705,0.17847657
706,0.17847657
707,0.17847657
708,0.13503896
709,0.13503896
710,0.16263716
711,0.16165216
712,0.13797216
713,0.14595156
714,0.14562636
